Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2024-01-02,256.4747009277344,257.6834136179388,255.28582253036768,257.20784411787065,5471000
2024-01-03,255.59295654296875,256.464788623417,254.48329435519238,256.15765943065844,4148300
2024-01-04,257.2078552246094,258.62464663957485,255.61276681282254,255.6821263703447,3843000
2024-01-05,257.2871398925781,259.0407515321778,256.35583511623804,258.36705070020554,3748400
2024-01-08,260.11077880859375,260.1900252812421,257.5447471843323,258.5255772387814,4659000
2024-01-09,260.8934631347656,261.18078830653286,258.72375444791,259.575782580121,7055800
2024-01-10,262.11212158203125,262.91462453228263,260.4278389602731,262.51833163163667,4355800
2024-01-11,261.5870056152344,263.727023388599,259.97208269585224,263.0037669826501,5599000
2024-01-12,261.7256774902344,263.09288310518554,261.2699120500483,262.6767862504794,4656100
2024-01-16,262.7857971191406,263.2019242774563,259.9225532213465,261.08171059949865,6196400
2024-01-17,264.1629333496094,264.62858574755836,261.9436692752339,261.9733904821155,5118700
2024-01-18,265.65899658203125,266.2930591342223,263.95491000990603,265.40139260774924,6694300
2024-01-19,268.3934326171875,268.6411194376602,264.5790495348663,265.6985988010361,7224600
2024-01-22,268.6906433105469,269.8299965035464,267.8583890847553,269.7209985930625,5984300
2024-01-23,268.7501220703125,269.3544634099562,267.41260716928093,269.03741701774567,5883000
2024-01-24,269.136474609375,270.3352702723386,268.5717414410017,270.047975349655,5021700
2024-01-25,270.0876159667969,270.256056316918,268.29436571268064,269.4337493339269,6894900
2024-01-26,265.4608154296875,268.3636975593762,263.1424705379248,263.47932096815975,8586500
2024-01-29,271.1278991699219,272.5248564366536,264.24219360943994,264.49979757265777,6574500
2024-01-30,274.5856018066406,276.0618358094898,271.65299833222485,272.04929119603116,6549000
2024-01-31,270.7315979003906,277.39930741158423,270.65232119022977,274.55586769748584,6139300
2024-02-01,274.48651123046875,274.62523035721165,270.8306514896252,270.8604029326755,7065000
2024-02-02,274.61529541015625,275.92308894093935,273.12917464386754,275.0413094400433,4848700
2024-02-05,273.0301208496094,275.4277425595543,272.58430271680646,274.8332881472764,4899100
2024-02-06,274.1991882324219,274.3180730516287,271.49443765465344,272.2573020680328,4400000
2024-02-07,276.80487060546875,276.9534766362183,274.49641273207516,276.79495345835056,4785900
2024-02-08,273.73779296875,277.5890656427305,273.2414955683214,277.4699591132819,5833400
2024-02-09,274.3829040527344,275.12734996487137,272.0602364418567,272.96350111690606,4618300
2024-02-12,273.03302001953125,274.6211775316574,272.20914948958017,274.38293421530824,3676200
2024-02-13,273.7675476074219,275.9413324699908,270.74014582465566,271.7228049052518,5493800
2024-02-14,275.50457763671875,275.5840021746026,272.67567673342705,274.4226530678416,4218400
2024-02-15,278.8992614746094,279.03820897688115,275.5045743725622,275.5939042579338,4834800
2024-02-16,276.49713134765625,279.03817093486145,275.8122386949286,278.87935217421347,6630100
